Name,Survived,Boarded,MWC,Age,Adut_or_Chld,Sex,Paid,Class_Dept,Class
"ALDWORTH, Mr Augustus Henry",Died,Southampton,Man,34,Adult,Male,13,,2
"ALEXANDER, Mr William",Died,Southampton,Man,23,Adult,Male,7.8875,3rd Class Passenger,3
"ALHOM_KI, Mr Ilmari Rudolf",Died,Southampton,Man,19,Adult,Male,7.925,3rd Class Passenger,3
"ALI, Mr Ahmed",Died,Southampton,Man,24,Adult,Male,7.05,3rd Class Passenger,3
"ALI, Mr William",Died,Southampton,Man,25,Adult,Male,7.05,3rd Class Passenger,3
"ALLARIA, Sig. Battista Antonio",Died,Southampton,Man,22,Adult,Male,,Restaurant Staff,R
"ALLEN, Miss Elisabeth Walton",Survived,Southampton,Woman,29,Adult,Female,211.3375,1st Class Passenger,1
"ALLEN, Mr Ernest Frederick",Survived,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"ALLEN, Mr Frederick",Died,Southampton,Man,17,Adult,Male,,Victualling Crew,V
"ALLEN, Mr George",Died,Southampton,Man,26,Adult,Male,,Victualling Crew,V
"ALLEN, Mr Henry",Died,Southampton,Man,32,Adult,Male,,Engineering Crew,E
"ALLEN, Mr Robert Spencer",Died,Southampton,Man,36,Adult,Male,,Victualling Crew,V
"ALLEN, Mr William Henry",Died,Southampton,Man,38,Adult,Male,8.05,3rd Class Passenger,3
"ALLISON, Master Hudson Trevor",Survived,Southampton,Child,0.92,Child,Male,151.8,1st Class Passenger,1
"ALLISON, Miss Helen Loraine",Died,Southampton,Child,2,Child,Female,151.8,1st Class Passenger,1
"ALLISON, Mr Hudson Joshua Creighton",Died,Southampton,Man,30,Adult,Male,151.8,1st Class Passenger,1
"ALLISON, Mrs Bessie Waldo",Died,Southampton,Woman,25,Adult,Female,151.8,1st Class Passenger,1
"ALLSOP, Mr Alfred Samuel",Died,Belfast,Man,35,Adult,Male,,Engineering Crew,E
"ALLSOP, Mr Frank Richard",Died,Belfast,Man,41,Adult,Male,,Victualling Crew,V
"ALLUM, Mr Owen George",Died,Southampton,Man,15,Adult,Male,8.3,3rd Class Passenger,3
"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",Survived,Southampton,Woman,19,Adult,Female,7.85416667,3rd Class Passenger,3
"ANDERSEN, Mr Albert Karvin",Died,Southampton,Man,33,Adult,Male,22.525,3rd Class Passenger,3
"ANDERSON, Mr Harry",Survived,Southampton,Man,47,Adult,Male,26.55,1st Class Passenger,1
"ANDERSON, Mr James",Survived,Southampton,Man,40,Adult,Male,,Deck Crew,D
"ANDERSON, Mr Walter Yuill",Died,Southampton,Man,48,Adult,Male,,Victualling Crew,V
"ANDERSSON, Master Sigvard Harald Elias",Died,Southampton,Child,4,Child,Male,31.275,3rd Class Passenger,3
"ANDERSSON, Miss Ebba Iris Alfrida",Died,Southampton,Child,6,Child,Female,31.275,3rd Class Passenger,3
"ANDERSSON, Miss Ellis Anna Maria",Died,Southampton,Child,2,Child,Female,31.275,3rd Class Passenger,3
"ANDERSSON, Miss Erna Alexandra",Survived,Southampton,Woman,17,Adult,Female,7.925,3rd Class Passenger,3
"ANDERSSON, Miss Ida Augusta Margareta",Died,Southampton,Woman,38,Adult,Female,7.775,3rd Class Passenger,3
"ANDERSSON, Miss Ingeborg Constanzia",Died,Southampton,Child,9,Child,Female,31.275,3rd Class Passenger,3
"ANDERSSON, Miss Sigrid Elisabeth",Died,Southampton,Child,11,Child,Female,31.275,3rd Class Passenger,3
"ANDERSSON, Mr Anders Johan",Died,Southampton,Man,39,Adult,Male,31.275,3rd Class Passenger,3
"ANDERSSON, Mr Johan Samuel",Died,Southampton,Man,26,Adult,Male,7.775,3rd Class Passenger,3
"ANDERSSON, Mrs Alfrida Konstantia Brogren",Died,Southampton,Woman,39,Adult,Female,31.275,3rd Class Passenger,3
"ANDREASSON, Mr Paul Edvin",Died,Southampton,Man,20,Adult,Male,7.85416667,3rd Class Passenger,3
"ANDREW, Mr Edgar Samuel",Died,Southampton,Man,17,Adult,Male,11.5,2nd Class Passenger,2
"ANDREW, Mr Frank Thomas",Died,Southampton,Man,25,Adult,Male,10.5,2nd Class Passenger,2
"ANDREWS, Miss Kornelia Theodosia",Survived,Cherbourg,Woman,62,Adult,Female,77.9583333,1st Class Passenger,1
"ANDREWS, Mr Charles Edward",Survived,Southampton,Man,19,Adult,Male,,Victualling Crew,V
"ANDREWS, Mr Thomas",Died,Belfast,Man,39,Adult,Male,0,1st Class PassengerH&W Guarantee Group,1
"ANGHELOFF, Mr Minko",Died,Southampton,Man,26,Adult,Male,7.89583333,3rd Class Passenger,3
"ANGLE, Mr William A.",Died,Southampton,Man,32,Adult,Male,26,2nd Class Passenger,2
"ANGLE, Mrs Florence Mary Agnes",Survived,Southampton,Woman,36,Adult,Female,26,,2
"APPLETON, Mrs Charlotte",Survived,Southampton,Woman,53,Adult,Female,51.4791667,1st Class Passenger,1
"ARCHER, Mr Ernest Edward",Survived,Southampton,Man,35,Adult,Male,,Deck Crew,D
"ARNOLD-FRANCHI, Mr Josef",Died,Southampton,Man,25,Adult,Male,17.8,3rd Class Passenger,3
"ARNOLD-FRANCHI, Mrs Josefine",Died,Southampton,Woman,18,Adult,Female,17.8,3rd Class Passenger,3
"ARONSSON, Mr Ernst Axel Algot",Died,Southampton,Man,24,Adult,Male,7.775,3rd Class Passenger,3
"ARTAGAVEYTIA, Mr Ramon",Died,Cherbourg,Man,71,Adult,Male,49.5041667,1st Class Passenger,1
"ASHBY, Mr John",Died,Southampton,Man,57,Adult,Male,13,2nd Class Passenger,2
"ASHCROFT, Mr Austin Aloysius",Died,Southampton,Man,26,Adult,Male,,Victualling Crew,V
"ASHE, Mr Henry Wellesley",Died,Southampton,Man,41,Adult,Male,,Victualling Crew,V
"ASIM, Mr Adola",Died,Southampton,Man,35,Adult,Male,7.05,3rd Class Passenger,3
"ASPESLAGH, Mr Georges",Died,Southampton,Man,26,Adult,Male,,Restaurant Staff,R
"ASPLUND, Master Carl Edgar",Died,Southampton,Child,5,Child,Male,31.3875,3rd Class Passenger,3
"ASPLUND, Master Clarence Gustaf Hugo",Died,Southampton,Child,9,Child,Male,31.3875,3rd Class Passenger,3
"ASPLUND, Master Edvin Rojj Felix",Survived,Southampton,Child,3,Child,Male,31.3875,3rd Class Passenger,3
"ASPLUND, Master Filip Oscar",Died,Southampton,Child,13,Child,Male,31.3875,3rd Class Passenger,3
"ASPLUND, Miss Lillian Gertrud",Survived,Southampton,Child,5,Child,Female,31.3875,3rd Class Passenger,3
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Died,Southampton,Man,40,Adult,Male,31.3875,3rd Class Passenger,3
"ASPLUND, Mr Johan Charles",Survived,Southampton,Man,23,Adult,Male,7.79583333,3rd Class Passenger,3
"ASPLUND, Mrs Selma Augusta Emilia",Survived,Southampton,Woman,38,Adult,Female,31.3875,3rd Class Passenger,3
"ASSAF, Mrs Mariana",Survived,Cherbourg,Woman,45,Adult,Female,7.225,3rd Class Passenger,3
"ASSAM, Mr Ali",Died,Southampton,Man,23,Adult,Male,7.05,3rd Class Passenger,3
"ASTOR, Colonel John Jacob",Died,Cherbourg,Man,47,Adult,Male,247.525,1st Class Passenger,1
"ASTOR, Mrs Madeleine Talmage",Survived,Cherbourg,Woman,18,Adult,Female,247.525,1st Class Passenger,1
"ATTALA, Mr Sleiman",Died,Cherbourg,Man,27,Adult,Male,7.225,3rd Class Passenger,3
"ATTALAH, Miss Malake",Died,Cherbourg,Woman,17,Adult,Female,14.4583333,3rd Class Passenger,3
"AUBART, Mme. Lontine Pauline",Survived,Cherbourg,Woman,24,Adult,Female,69.3,1st Class Passenger,1
"AUGUSTSSON, Mr Albert",Died,Southampton,Man,23,Adult,Male,7.85416667,3rd Class Passenger,3
"AVERY, Mr James Albert",Survived,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"AYLING, Mr Edwin George",Died,Southampton,Man,22,Adult,Male,,Victualling Crew,V
"AYOUB DAHER, Miss Banoura",Survived,Cherbourg,Woman,15,Adult,Female,7.22916667,3rd Class Passenger,3
"BACCOS, Mr Raffull",Died,Cherbourg,Man,20,Adult,Male,7.225,3rd Class Passenger,3
"BACK, Mr Charles Frederick",Died,Belfast,Man,32,Adult,Male,,Victualling Crew,V
"BACKSTRM, Mr Karl Alfred",Died,Southampton,Man,32,Adult,Male,15.85,3rd Class Passenger,3
"BACKSTRM, Mrs Maria Mathilda",Survived,Southampton,Woman,33,Adult,Female,15.85,3rd Class Passenger,3
"BACLINI, Miss Eugenie",Survived,Cherbourg,Child,3,Child,Female,19.2583333,3rd Class Passenger,3
"BACLINI, Miss Helene Barbara",Survived,Cherbourg,Child,0.75,Child,Female,19.2583333,3rd Class Passenger,3
"BACLINI, Miss Marie Catherine",Survived,Cherbourg,Child,5,Child,Female,19.2583333,3rd Class Passenger,3
"BACLINI, Mrs Latifa",Survived,Cherbourg,Woman,24,Adult,Female,19.2583333,3rd Class Passenger,3
"BADMAN, Miss Emily Louisa",Survived,Southampton,Woman,18,Adult,Female,8.05,3rd Class Passenger,3
"BADT, Mr Mohamed",Died,Cherbourg,Man,40,Adult,Male,7.225,3rd Class Passenger,3
"BAGGOTT, Mr Allen Marden",Survived,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"BAGLEY, Mr Edward Henry",Died,Southampton,Man,33,Adult,Male,,Victualling Crew,V
"BAILEY, Mr George Francis",Died,Belfast,Man,36,Adult,Male,,Victualling Crew,V
"BAILEY, Mr George W.",Died,Southampton,Man,46,Adult,Male,,Engineering Crew,E
"BAILEY, Mr Henry Joseph",Survived,Southampton,Man,43,Adult,Male,,Deck Crew,D
"BAILEY, Mr Percy",Died,Southampton,Man,15,Adult,Male,11.5,2nd Class Passenger,2
"BAINBRIGGE, Mr Charles Robert",Died,Southampton,Man,23,Adult,Male,10.5,2nd Class Passenger,2
"BAINES, Mr Richard",Died,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"BALKIC, Mr Cerin",Died,Southampton,Man,26,Adult,Male,7.89583333,3rd Class Passenger,3
"BALL, Mr Percy",Survived,Southampton,Man,19,Adult,Male,,Victualling Crew,V
"BALL, Mrs Ada E.",Survived,Southampton,Woman,36,Adult,Female,13,2nd Class Passenger,2
"BANFI, Sig. Ugo",Died,Southampton,Man,24,Adult,Male,,Restaurant Staff,R
"BANFIELD, Mr Frederick James",Died,Southampton,Man,28,Adult,Male,10.5,2nd Class Passenger,2
"BANNON, Mr John Joseph",Died,Southampton,Man,34,Adult,Male,,Engineering Crew,E
"BANSKI, Mrs Mara",Survived,Southampton,Woman,31,Adult,Female,8.68333333,3rd Class Passenger,3
"BARBARA, Miss Saiide",Died,Cherbourg,Woman,18,Adult,Female,14.4541667,3rd Class Passenger,3
"BARBARA, Mrs Catherine David",Died,Cherbourg,Woman,45,Adult,Female,14.4541667,3rd Class Passenger,3
"BARBER, Miss Ellen Mary",Survived,Southampton,Woman,26,Adult,Female,78.85,1st Class PassengerServant,1
"BARKER, Mr Albert Vale",Died,Southampton,Man,19,Adult,Male,,Victualling Crew,V
"BARKER, Mr Ernest Thomas",Died,Southampton,Man,40,Adult,Male,,Victualling Crew,V
"BARKER, Mr Reginald Lomond",Died,Belfast,Man,40,Adult,Male,,Victualling Crew,V
"BARKWORTH, Mr Algernon Henry",Survived,Southampton,Man,47,Adult,Male,30,1st Class Passenger,1
"BARLOW, Mr Charles",Died,Southampton,Man,30,Adult,Male,,Engineering Crew,E
"BARLOW, Mr George",Died,Southampton,Man,36,Adult,Male,,Victualling Crew,V
"BARNES, Mr Charles",Died,Southampton,Man,29,Adult,Male,,Engineering Crew,E
"BARNES, Mr Frederick Charles",Died,Southampton,Man,39,Adult,Male,,Victualling Crew,V
"BARNES, Mr John",Died,Southampton,Man,41,Adult,Male,,Engineering Crew,E
"BARRATT, Mr Arthur",Died,Southampton,Man,15,Adult,Male,,Victualling Crew,V
"BARRETT, Mr Frederick",Survived,Southampton,Man,28,Adult,Male,,Engineering Crew,E
"BARRETT, Mr Frederick William",Died,Southampton,Man,33,Adult,Male,,Engineering Crew,E
"BARRINGER, Mr Arthur William",Died,Belfast,Man,33,Adult,Male,,Victualling Crew,V
"BARROW, Mr Charles Henry John Barrow",Died,Southampton,Man,35,Adult,Male,,Victualling Crew,V
"BARROWS, Mr William",Died,Southampton,Man,32,Adult,Male,,Victualling Crew,V
"BARRY, Miss Julia",Died,Queenstown,Woman,26,Adult,Female,7.87916667,3rd Class Passenger,3
"BARTON, Mr David John",Died,Southampton,Man,22,Adult,Male,8.05,3rd Class Passenger,3
"BARTON, Mr Sidney John",Died,Southampton,Man,26,Adult,Male,,Victualling Crew,V
"BASILICO, Sig. Giovanni",Died,Southampton,Man,27,Adult,Male,,Restaurant Staff,R
"BASSANI, Mrs Albina",Survived,Cherbourg,Woman,32,Adult,Female,76.2916667,,1
"BATEMAN, Fr Robert James",Died,Southampton,Man,51,Adult,Male,12.525,2nd Class Passenger,2
"BAUMANN, Mr John D.",Died,Cherbourg,Man,60,Adult,Male,25.925,1st Class Passenger,1
"BAXTER, Mr Harry Ross",Died,Southampton,Man,53,Adult,Male,,Victualling Crew,V
"BAXTER, Mr Quigg Edmond",Died,Cherbourg,Man,24,Adult,Male,247.520833,1st Class Passenger,1
"BAXTER, Mr Thomas Ferguson",Died,Southampton,Man,55,Adult,Male,,Victualling Crew,V
"BAXTER, Mrs Hlne",Survived,Cherbourg,Woman,50,Adult,Female,247.520833,1st Class Passenger,1
"BAZZI, Sig. Narciso",Died,Southampton,Man,33,Adult,Male,,Restaurant Staff,R
"BEANE, Mr Edward",Survived,Southampton,Man,32,Adult,Male,26,2nd Class Passenger,2
"BEANE, Mrs Ethel",Survived,Southampton,Woman,19,Adult,Female,26,2nd Class Passenger,2
"BEATTIE, Mr Joseph",Died,Belfast,Man,35,Adult,Male,,Engineering Crew,E
"BEATTIE, Mr Thomson",Died,Southampton,Man,36,Adult,Male,75.2416667,1st Class Passenger,1
"BEAUCHAMP, Mr George William",Survived,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"BEAUCHAMP, Mr Henry James",Died,Southampton,Man,28,Adult,Male,26,2nd Class Passenger,2
"BEAVAN, Mr William Thomas",Died,Southampton,Man,20,Adult,Male,8.05,3rd Class Passenger,3
"BECKER, Master Richard F.",Survived,Southampton,Child,1,Child,Male,39,2nd Class Passenger,2
"BECKER, Miss Marion Louise",Survived,Southampton,Child,4,Child,Female,39,2nd Class Passenger,2
"BECKER, Miss Ruth Elizabeth",Survived,Southampton,Child,12,Child,Female,39,2nd Class Passenger,2
"BECKER, Mrs Nellie E.",Survived,Southampton,Woman,35,Adult,Female,39,2nd Class Passenger,2
"BECKWITH, Mr Richard Leonard",Survived,Southampton,Man,37,Adult,Male,52.5541667,1st Class Passenger,1
"BECKWITH, Mrs Sallie",Survived,Southampton,Woman,46,Adult,Female,52.5541667,1st Class Passenger,1
"BEDFORD, Mr William Barnett",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"BEEDEM, Mr George Arthur",Died,Southampton,Man,34,Adult,Male,,Victualling Crew,V
"BEERE, Mr William",Died,Southampton,Man,19,Adult,Male,,Victualling Crew,V
"BEESLEY, Mr Lawrence",Survived,Southampton,Man,34,Adult,Male,13,2nd Class Passenger,2
"BEHR, Mr Karl Howell",Survived,Cherbourg,Man,26,Adult,Male,30,1st Class Passenger,1
"BELL, Mr Joseph",Died,Belfast,Man,50,Adult,Male,,Engineering Crew,E
"BENDELL, Mr Frank",Died,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"BENGTSSON, Mr Johan Viktor",Died,Southampton,Man,26,Adult,Male,7.775,3rd Class Passenger,3
"BENHAM, Mr Fred John",Died,Southampton,Man,29,Adult,Male,,Victualling Crew,V
"BENNETT, Mr George Alfred",Died,Southampton,Man,30,Adult,Male,,Engineering Crew,E
"BENNETT, Mrs Mabel",Survived,Southampton,Woman,33,Adult,Female,,Victualling Crew,V
"BENTHAM, Miss Lillian W.",Survived,Southampton,Woman,19,Adult,Female,13,2nd Class Passenger,2
"BENVILLE, Mr Edward",Died,Southampton,Man,47,Adult,Male,,Engineering Crew,E
"BERGLUND, Mr Karl Ivar Sven",Died,Southampton,Man,22,Adult,Male,9.35,3rd Class Passenger,3
"BERNARDI, Sig. Battista",Died,Southampton,Man,22,Adult,Male,,Restaurant Staff,R
"BERRIMAN, Mr William John",Died,Southampton,Man,23,Adult,Male,13,2nd Class Passenger,2
"BESSANT, Mr Edward",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"BESSANT, Mr William Edward Lowe",Died,Southampton,Man,39,Adult,Male,,Engineering Crew,E
"BESSETTE, Miss Nellie Mayo",Survived,Cherbourg,Woman,39,Adult,Female,63.3583333,1st Class PassengerServant,1
"BEST, Mr Edwin Alfred",Died,Belfast,Man,38,Adult,Male,,Victualling Crew,V
"BEUX, Mr David",Died,Southampton,Man,26,Adult,Male,,Restaurant Staff,R
"BEVIS, Mr Joseph Henry",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"BIDDLECOMBE, Mr Reginald Charles",Died,Southampton,Man,31,Adult,Male,,Engineering Crew,E
"BIDOIS, Miss Rosalie",Survived,Cherbourg,Woman,46,Adult,Female,247.525,1st Class PassengerServant,1
"BIETRIX, Mr George Baptiste",Died,Southampton,Man,28,Adult,Male,,Restaurant Staff,R
"BIGGS, Mr Edward Charles",Died,Southampton,Man,20,Adult,Male,,Engineering Crew,E
"BILLOWS, Mr James",Died,Southampton,Man,20,Adult,Male,,Engineering Crew,E
"BING, Mr Lee",Survived,Southampton,Man,32,Adult,Male,56.4958333,3rd Class Passenger,3
"BINSTEAD, Mr Walter William",Survived,Southampton,Man,20,Adult,Male,,Engineering Crew,E
"BIRD, Miss Ellen",Survived,Southampton,Woman,31,Adult,Female,221.779167,1st Class PassengerServant,1
"BIRKELAND, Mr Hans Martin Monsen",Died,Southampton,Man,21,Adult,Male,7.775,3rd Class Passenger,3
"BIRNBAUM, Mr Jakob",Died,Cherbourg,Man,24,Adult,Male,26,1st Class Passenger,1
"BISHOP, Mr Dickinson H.",Survived,Cherbourg,Man,25,Adult,Male,91.0791667,1st Class Passenger,1
"BISHOP, Mr Walter Alexander",Died,Belfast,Man,33,Adult,Male,,Victualling Crew,V
"BISHOP, Mrs Helen",Survived,Cherbourg,Woman,19,Adult,Female,91.0791667,1st Class Passenger,1
"BJRKLUND, Mr Ernst Herbert",Died,Southampton,Man,18,Adult,Male,7.75,3rd Class Passenger,3
"BJRNSTRM-STEFFANSSON, Mr Mauritz Hokan",Survived,Southampton,Man,28,Adult,Male,26.55,1st Class Passenger,1
"BLACK, Mr Alexander",Died,Southampton,Man,28,Adult,Male,,Engineering Crew,E
"BLACK, Mr D.",Died,Southampton,Man,41,Adult,Male,,Engineering Crew,E
"BLACKMAN, Mr Albert Edward",Died,Southampton,Man,23,Adult,Male,,Engineering Crew,E
"BLACKWELL, Mr Stephen Weart",Died,Southampton,Man,45,Adult,Male,35.5,1st Class Passenger,1
"BLAKE, Mr Percival Albert",Survived,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"BLAKE, Mr Seaton",Died,Belfast,Man,26,Adult,Male,,Engineering Crew,E
"BLAKE, Mr Thomas Henry",Died,Southampton,Man,36,Adult,Male,,Engineering Crew,E
"BLANEY, Mr James",Died,Southampton,Man,32,Adult,Male,,Engineering Crew,E
"BLANK, Mr Henry",Survived,Cherbourg,Man,39,Adult,Male,31,1st Class Passenger,1
"BLANN, Mr Eustace Horatius",Died,Southampton,Man,21,Adult,Male,,Engineering Crew,E
"BLISS, Mrs Emma",Survived,Southampton,Woman,45,Adult,Female,,Victualling Crew,V
"BLUMET, Mr Jean Baptiste",Died,Southampton,Man,26,Adult,Male,,Restaurant Staff,R
"BOCHATAY, Mr Alexis Joseph",Died,Southampton,Man,30,Adult,Male,,Victualling Crew,V
"BOCHET, Mr Pierre Giuseppe",Died,Southampton,Man,43,Adult,Male,,Restaurant Staff,R
"BOGIE, Mr Norman Leslie",Died,Southampton,Man,59,Adult,Male,,Victualling Crew,V
"BOLHUIS, Mr Hendrik",Died,Southampton,Man,27,Adult,Male,,Restaurant Staff,R
"BOND, Mr William John",Died,Belfast,Man,40,Adult,Male,,Victualling Crew,V
"BONNELL, Miss Caroline",Survived,Southampton,Woman,30,Adult,Female,164.866667,1st Class Passenger,1
"BONNELL, Miss Elizabeth",Survived,Southampton,Woman,61,Adult,Female,26.55,1st Class Passenger,1
"BOOTHBY, Mr Walter Thomas",Died,Southampton,Man,37,Adult,Male,,Victualling Crew,V
"BOREBANK, Mr John James",Died,Southampton,Man,42,Adult,Male,26.55,1st Class Passenger,1
"BOSTANDYEFF, Mr Guentcho",Died,Southampton,Man,26,Adult,Male,7.89583333,3rd Class Passenger,3
"BOSTON, Mr William John",Died,Belfast,Man,31,Adult,Male,,Victualling Crew,V
"BOTSFORD, Mr William Hull",Died,Southampton,Man,25,Adult,Male,13,2nd Class Passenger,2
"BOTT, Mr William Thomas",Died,Southampton,Man,44,Adult,Male,,Engineering Crew,E
"BOUGHTON, Mr Bernard John",Died,Southampton,Man,24,Adult,Male,,Victualling Crew,V
"BOULOS, Master Akar",Died,Cherbourg,Child,9,Child,Male,15.2458333,3rd Class Passenger,3
"BOULOS, Miss Nourelain",Died,Cherbourg,Child,7,Child,Female,15.2458333,3rd Class Passenger,3
"BOULOS, Mrs Sultana",Died,Cherbourg,Woman,40,Adult,Female,15.2458333,3rd Class Passenger,3
"BOURKE, Miss Mary",Died,Queenstown,Woman,40,Adult,Female,7.75,3rd Class Passenger,3
"BOURKE, Mr John",Died,Queenstown,Man,42,Adult,Male,15.5,3rd Class Passenger,3
"BOURKE, Mrs Catherine",Died,Queenstown,Woman,32,Adult,Female,15.5,3rd Class Passenger,3
"BOWEN, Miss Grace Scott",Survived,Cherbourg,Woman,45,Adult,Female,262.375,1st Class PassengerServant,1
"BOWEN, Mr David John 'Dai'",Died,Southampton,Man,26,Adult,Male,16.1,3rd Class Passenger,3
"BOWENUR, Mr Solomon",Died,Southampton,Man,42,Adult,Male,13,2nd Class Passenger,2
"BOWERMAN, Miss Elsie Edith",Survived,Southampton,Woman,22,Adult,Female,55,1st Class Passenger,1
"BOWKER, Miss Ruth",Survived,Southampton,Woman,27,Adult,Female,,Restaurant Staff,R
"BOXHALL, Mr Joseph Groves",Survived,Belfast,Man,28,Adult,Male,,Deck CrewTitanic Officers,D
"BOYD, Mr John",Died,Southampton,Man,36,Adult,Male,,Victualling Crew,V
"BOYES, Mr John Henry",Died,Belfast,Man,36,Adult,Male,,Victualling Crew,V
"BRACKEN, Mr James H.",Died,Southampton,Man,29,Adult,Male,13,2nd Class Passenger,2
"BRADLEY, Miss Bridget Delia",Survived,Queenstown,Woman,22,Adult,Female,7.725,3rd Class Passenger,3
"BRADLEY, Mr Patrick Joseph",Died,Southampton,Man,39,Adult,Male,,Engineering Crew,E
"BRADLEY, Mr T.",Died,Southampton,Man,29,Adult,Male,,Deck Crew,D
"BRADSHAW, Mr John Albert Perkin",Died,Southampton,Man,43,Adult,Male,,Victualling Crew,V
"BRADY, Mr John Bertram",Died,Southampton,Man,41,Adult,Male,30.5,1st Class Passenger,1
"BRAF, Miss Elin Ester Maria",Died,Southampton,Woman,20,Adult,Female,7.85416667,3rd Class Passenger,3
"BRAILEY, Mr William Theodore Ronald",Died,Southampton,Man,24,Adult,Male,0,2nd Class PassengerMusician,2
"BRANDEIS, Mr Emil",Died,Cherbourg,Man,48,Adult,Male,50.4958333,1st Class Passenger,1
"BRAUND, Mr Lewis Richard",Died,Southampton,Man,29,Adult,Male,7,3rd Class Passenger,3
"BRAUND, Mr Owen Harris",Died,Southampton,Man,22,Adult,Male,7.25,3rd Class Passenger,3
"BRERETON, Mr George Andrew",Survived,Southampton,Man,37,Adult,Male,26.55,1st Class Passenger,1
"BREWE, Dr Arthur Jackson",Died,Cherbourg,Man,45,Adult,Male,39.6,1st Class Passenger,1
"BREWER, Mr Harry",Died,Southampton,Man,30,Adult,Male,,,E
"BREWSTER, Mr George Henry",Died,Belfast,Man,48,Adult,Male,,Victualling Crew,V
"BRIANT, Mr Albert",Died,Southampton,Man,34,Adult,Male,,Engineering Crew,E
"BRICE, Mr Walter Thomas",Survived,Southampton,Man,42,Adult,Male,,Deck Crew,D
"BRICOUX, Mr Roger Marie",Died,Southampton,Man,20,Adult,Male,0,2nd Class PassengerMusician,2
"BRIDE, Mr Harold Sydney",Survived,Belfast,Man,22,Adult,Male,,Victualling Crew,V
"BRIGHT, Mr Arthur John",Survived,Belfast,Man,42,Adult,Male,,Deck Crew,D
"BRISTOW, Mr Harry",Died,Southampton,Man,33,Adult,Male,,Victualling Crew,V
"BRISTOW, Mr Robert Charles",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"BRITO, Mr Jos Joaquim de",Died,Southampton,Man,32,Adult,Male,13,2nd Class Passenger,2
"BROBECK, Mr Karl Rudolf",Died,Southampton,Man,22,Adult,Male,7.79583333,3rd Class Passenger,3
"BROCKLEBANK, Mr William Alfred",Died,Southampton,Man,35,Adult,Male,8.05,3rd Class Passenger,3
"BROOKMAN, Mr John Cress",Died,Southampton,Man,27,Adult,Male,,Victualling Crew,V
